baseline,slice_num,phase,psnr,ssim,msssim,ssim_like,lpips
linear,25,20,21.559736213625577,0.36928397063048396,0.5591229200363159,0.5591229200363159,0.12303649634122849
linear,25,30,21.593579565622623,0.37042341135594864,0.5658724308013916,0.5658724308013916,0.12236287444829941
linear,25,40,23.87791272247736,0.5781295921250934,0.7860905528068542,0.7860905528068542,0.08636224269866943
linear,12,10,23.419247957408054,0.5591172426098815,0.7739359736442566,0.7739359736442566,0.09832999110221863
linear,12,20,21.390942967524303,0.3635611737269647,0.5644975900650024,0.5644975900650024,0.1226387619972229
linear,12,30,21.554607227214944,0.362295435223614,0.5630483627319336,0.5630483627319336,0.12962615489959717
linear,12,40,23.761706053050624,0.5621254008563016,0.7760341167449951,0.7760341167449951,0.09101729094982147
linear,37,10,23.382037005056986,0.5520159112761112,0.7706093192100525,0.7706093192100525,0.08901190757751465
linear,37,20,21.198791679585106,0.35186120921190656,0.5440444350242615,0.5440444350242615,0.12129302322864532
linear,37,30,21.258222823169067,0.3513193853740424,0.546560525894165,0.546560525894165,0.12046699225902557
linear,37,40,23.566726354942542,0.5601579907656267,0.7734975218772888,0.7734975218772888,0.07915737479925156
linear,37,10,26.496479096431884,0.6296489856280246,0.8359797596931458,0.8359797596931458,0.061720073223114014
linear,37,20,24.155136009228787,0.4157275704403534,0.6535765528678894,0.6535765528678894,0.09465725719928741
linear,37,30,24.10177593023457,0.40486041918674476,0.6525568962097168,0.6525568962097168,0.09033291041851044
linear,37,40,26.627235824276312,0.6390763612460697,0.8458036184310913,0.8458036184310913,0.05451091751456261
linear,25,10,26.59369571530818,0.6366249247798795,0.837006151676178,0.837006151676178,0.06859343498945236
linear,25,20,24.25295060316867,0.43208648277618733,0.6670411229133606,0.6670411229133606,0.10110777616500854
linear,25,30,24.22510390279497,0.4260210826434805,0.6726205945014954,0.6726205945014954,0.09538534283638
linear,25,40,26.570659130445513,0.6506737648002693,0.8522961139678955,0.8522961139678955,0.05995083600282669
linear,12,10,25.79532487807556,0.6088816664056815,0.8125979900360107,0.8125979900360107,0.07309111207723618
linear,12,20,23.51893614217902,0.3976815488481583,0.6328898668289185,0.6328898668289185,0.1016009971499443
linear,12,30,23.386907501511523,0.39006590406239744,0.6404489874839783,0.6404489874839783,0.10203202068805695
linear,12,40,26.17715815584619,0.6397296264485959,0.8435258269309998,0.8435258269309998,0.05946115031838417
linear,12,10,26.411497107077714,0.6245010701617296,0.8262255787849426,0.8262255787849426,0.07154980301856995
linear,12,20,24.25874725394563,0.43458877620066155,0.6637389659881592,0.6637389659881592,0.09718704968690872
linear,12,30,24.39881053623173,0.4348054821779674,0.6756580471992493,0.6756580471992493,0.08987540751695633
linear,12,40,26.4938326932614,0.6360745411814424,0.8442269563674927,0.8442269563674927,0.06681693345308304
linear,25,10,27.058154717303495,0.6441752725626988,0.8432512879371643,0.8432512879371643,0.06643812358379364
linear,25,20,24.697963034458766,0.4473900552336785,0.6826114654541016,0.6826114654541016,0.09987539052963257
linear,25,30,24.73930608025499,0.44350182009378475,0.687426745891571,0.687426745891571,0.09644779562950134
linear,25,40,26.806724305548254,0.6457999454577062,0.8539316654205322,0.8539316654205322,0.062294088304042816
linear,37,10,27.010389294853937,0.6277574249609673,0.837763786315918,0.837763786315918,0.06015626713633537
linear,37,20,24.784731162479336,0.438225689037114,0.6785182356834412,0.6785182356834412,0.09027000516653061
linear,37,30,24.775167499693026,0.4343561481770812,0.6798188090324402,0.6798188090324402,0.08604071289300919
linear,37,40,26.83910595295204,0.6393363519475048,0.8468265533447266,0.8468265533447266,0.05764012411236763
linear,25,10,23.323236901470978,0.5662652087532418,0.7807507514953613,0.7807507514953613,0.09266998618841171
linear,25,20,21.15375172584183,0.36278343257876156,0.5763851404190063,0.5763851404190063,0.13766705989837646
linear,25,30,21.213393453357515,0.3677337040741779,0.5860143303871155,0.5860143303871155,0.12685923278331757
linear,25,40,22.973687686321128,0.5652049503308723,0.7777042388916016,0.7777042388916016,0.09505952894687653
linear,12,10,22.497993749003165,0.5323342697514565,0.7672919631004333,0.7672919631004333,0.09308777749538422
linear,12,20,20.445353434316566,0.33510112993277114,0.5766226649284363,0.5766226649284363,0.12467654049396515
linear,12,30,20.528096751049006,0.3564784939401201,0.5835948586463928,0.5835948586463928,0.13355706632137299
linear,12,40,22.356380259550477,0.5407625440518571,0.7640910744667053,0.7640910744667053,0.10492467880249023
linear,37,10,23.185945077184687,0.5634113505095928,0.7878628969192505,0.7878628969192505,0.08919528126716614
linear,37,20,21.056847065755164,0.3559161983631283,0.5852715969085693,0.5852715969085693,0.11940447241067886
linear,37,30,21.079572397359886,0.35759820268227616,0.5902034640312195,0.5902034640312195,0.11740020662546158
linear,37,40,22.700383304997757,0.555742865708845,0.7776827216148376,0.7776827216148376,0.09059247374534607
linear,12,10,20.320005028599514,0.46660673657444457,0.7210850715637207,0.7210850715637207,0.10648903250694275
linear,12,20,19.06429832287856,0.31741691778697345,0.5328264832496643,0.5328264832496643,0.14292889833450317
